Symbol,Date,Time,Open Time,Open Bid Price,Open Bid Size,Open Ask Price,Open Ask Size,High Bid Time,High Bid Price,High Bid Size,Ask Price at High Bid,Ask Size at High Bid,Low Ask Time,Bid Price at Low Ask,Bid Size at Low Ask,Low Ask Price,Low Ask Size,Close Time,Close Bid Price,Close Bid Size,Close Ask Price,Close Ask Size,Max. Spread,Min. Spread,NBBO Count
GLP,03/04/2014,10:53,10:52:09.997,38.69,1,38.8,1,10:52:09.997,38.69,1,38.8,1,10:52:36.857,38.69,1,38.79,1,10:52:36.857,38.69,1,38.79,1,0.11,0.10,2
GLP,03/04/2014,10:58,10:57:23.342,38.69,1,38.79,1,10:57:23.342,38.69,1,38.79,1,10:57:23.342,38.69,1,38.79,1,10:57:23.342,38.69,1,38.79,1,0.10,0.10,1
GLP,03/04/2014,11:05,11:04:17.463,38.7,1,38.79,1,11:04:17.463,38.7,1,38.79,1,11:04:17.463,38.7,1,38.79,1,11:04:19.744,38.7,3,38.79,1,0.09,0.09,2
GLP,03/04/2014,11:12,11:11:10.052,38.7,2,38.79,1,11:11:10.052,38.7,2,38.79,1,11:11:10.052,38.7,2,38.79,1,11:11:10.066,38.7,2,38.8,49,0.10,0.09,2
GLP,03/04/2014,11:25,11:24:33.053,38.7,4,38.8,49,11:24:41.778,38.73,1,38.8,49,11:24:33.053,38.7,4,38.8,49,11:24:43.099,38.73,2,38.8,49,0.10,0.07,7
GLP,03/04/2014,12:13,12:12:21.218,38.75,1,38.8,49,12:12:21.218,38.75,1,38.8,49,12:12:53.688,38.7,1,38.79,1,12:12:55.593,38.69,1,38.8,49,0.11,0.05,6
GLP,03/04/2014,12:16,12:15:09.849,38.69,1,38.8,49,12:15:09.849,38.69,1,38.8,49,12:15:09.849,38.69,1,38.8,49,12:15:57.587,38.35,4,39.11,1,0.89,0.11,27
GLP,03/04/2014,12:17,12:16:01.043,38.35,4,39.11,2,12:16:01.043,38.35,4,39.11,2,12:16:01.043,38.35,4,39.11,2,12:16:01.043,38.35,4,39.11,2,0.76,0.76,1
GLP,03/04/2014,12:18,12:17:00.507,38.36,1,39.11,2,12:17:00.586,38.37,4,39.11,2,12:17:00.507,38.36,1,39.11,2,12:17:00.586,38.37,4,39.11,2,0.75,0.74,2
GLP,03/04/2014,12:19,12:18:03.426,38.38,1,39.11,2,12:18:03.513,38.39,4,39.11,2,12:18:03.426,38.38,1,39.11,2,12:18:03.513,38.39,4,39.11,2,0.73,0.72,2
GLP,03/04/2014,12:20,12:19:00.392,38.4,1,39.11,2,12:19:41.049,38.43,3,39.11,2,12:19:00.392,38.4,1,39.11,2,12:19:41.049,38.43,3,39.11,2,0.71,0.68,5
GLP,03/04/2014,12:21,12:20:04.409,38.44,1,39.11,2,12:20:17.043,38.45,3,39.1,1,12:20:14.857,38.44,1,39.1,1,12:20:17.043,38.45,3,39.1,1,0.67,0.65,5
